"","x"
"762","CSF1"
"763","AHCYL1"
"764","STRIP1"
"765","UBL4B"
"766","SLC6A17"
"767","KCNC4"
"768","SLC16A4"
"769","KCNA2"
"770","KCNA3"
"771","CD53"
"772","LRIF1"
"773","DRAM2"
"774","CEPT1"
"775","DENND2D"
"776","CHI3L2"
"777","PIFO"
"778","OVGP1"
"779","WDR77"
"780","ATP5PB"
"781","C1orf162"
"782","TMIGD3"
"783","ADORA3"
"784","RAP1A"
"785","INKA2"
"786","DDX20"
"787","KCND3"
"788","CTTNBP2NL"
"789","WNT2B"
"790","ST7L"
"791","MOV10"
"792","PPM1J"
"793","TAFA3"
"794","SLC16A1"
"795","LRIG2"
"796","MAGI3"
"797","PHTF1"
"798","RSBN1"
"799","PTPN22"
"800","BCL2L15"
"801","AP4B1"
"802","DCLRE1B"
"803","HIPK1"
"804","OLFML3"
"805","SYT6"
"806","TRIM33"
"807","DENND2C"
"808","AMPD1"
"809","NRAS"
"810","CSDE1"
"811","SIKE1"
"812","TSPAN2"
"813","NGF"
"814","VANGL1"
"815","CASQ2"
"816","SLC22A15"
"817","ATP1A1"
"818","CD58"
"819","IGSF3"
"820","CD2"
"821","PTGFRN"
"822","CD101"
"823","TTF2"
"824","TRIM45"
"825","MAN1A2"
"826","TENT5C"
"827","GDAP2"
"828","WDR3"
"829","SPAG17"
"830","TBX15"
"831","WARS2"
"832","ZNF697"
"833","PHGDH"
"834","NOTCH2"
"835","SEC22B"
"836","FCGR1B"
"837","NBPF20"
"838","PDZK1"
"839","CD160"
"840","RNF115"
"841","POLR3C"
"842","NUDT17"
"843","PIAS3"
"844","ANKRD35"
"845","ITGA10"
"846","PEX11B"
"847","RBM8A"
"848","LIX1L"
"849","ANKRD34A"
"850","POLR3GL"
"851","TXNIP"
"852","HJV"
"853","PRKAB2"
"854","FMO5"
"855","BCL9"
"856","ACP6"
"857","GJA5"
"858","GPR89B"
"859","PDE4DIP"
"860","NBPF19"
"861","FCGR1A"
"862","HIST2H2BE"
"863","HIST2H2AB"
"864","BOLA1"
"865","SV2A"
"866","SF3B4"
"867","MTMR11"
"868","OTUD7B"
"869","VPS45"
"870","PLEKHO1"
"871","ANP32E"
"872","APH1A"
"873","C1orf54"
"874","CIART"
"875","PRPF3"
"876","RPRD2"
"877","TARS2"
"878","ECM1"
"879","ADAMTSL4"
"880","MCL1"
"881","GOLPH3L"
"882","HORMAD1"
"883","CTSS"
"884","CTSK"
"885","ARNT"
"886","SETDB1"
"887","CERS2"
"888","ANXA9"
"889","MINDY1"
"890","PRUNE1"
"891","BNIPL"
"892","C1orf56"
"893","CDC42SE1"
"894","MLLT11"
"895","GABPB2"
"896","SEMA6C"
"897","TNFAIP8L2"
"898","SCNM1"
"899","LYSMD1"
"900","VPS72"
"901","PIP5K1A"
"902","PSMD4"
"903","ZNF687"
"904","PI4KB"
"905","RFX5"
"906","SELENBP1"
"907","PSMB4"
"908","POGZ"
"909","CGN"
"910","TUFT1"
"911","SNX27"
"912","RIIAD1"
"913","OAZ3"
"914","TDRKH"
"915","LINGO4"
"916","RORC"
"917","C2CD4D"
"918","THEM4"
"919","S100A10"
"920","S100A11"
"921","TCHH"
"922","S100A9"
"923","S100A12"
"924","S100A8"
"925","S100A6"
"926","S100A5"
"927","S100A4"
"928","S100A3"
"929","S100A2"
"930","S100A16"
"931","S100A14"
"932","S100A13"
"933","S100A1"
"934","CHTOP"
"935","SNAPIN"
"936","ILF2"
"937","NPR1"
"938","INTS3"
"939","SLC27A3"
"940","GATAD2B"
"941","DENND4B"
"942","CRTC2"
"943","SLC39A1"
"944","CREB3L4"
"945","JTB"
"946","RAB13"
"947","C1orf189"
"948","C1orf43"
"949","UBAP2L"
"950","HAX1"
"951","ATP8B2"
"952","IL6R"
"953","SHE"
"954","TDRD10"
"955","UBE2Q1"
"956","ADAR"
"957","KCNN3"
"958","PMVK"
"959","PBXIP1"
"960","PYGO2"
"961","SHC1"
"962","FLAD1"
"963","LENEP"
"964","ZBTB7B"
"965","DCST2"
"966","ADAM15"
"967","EFNA4"
"968","EFNA3"
"969","EFNA1"
"970","SLC50A1"
"971","DPM3"
"972","KRTCAP2"
"973","TRIM46"
"974","MUC1"
"975","THBS3"
"976","MTX1"
"977","GBA"
"978","FAM189B"
"979","SCAMP3"
"980","CLK2"
"981","HCN3"
"982","FDPS"
"983","RUSC1"
"984","ASH1L"
"985","MSTO1"
"986","YY1AP1"
"987","DAP3"
"988","GON4L"
"989","SYT11"
"990","RIT1"
"991","KHDC4"
"992","ARHGEF2"
"993","SSR2"
"994","UBQLN4"
"995","LAMTOR2"
"996","RAB25"
"997","MEX3A"
"998","LMNA"
"999","SEMA4A"
"1000","SLC25A44"
"1001","PMF1"
"1002","BGLAP"
"1003","PAQR6"
"1004","SMG5"
"1005","TMEM79"
"1006","GLMP"
"1007","VHLL"
"1008","CCT3"
"1009","TSACC"
"1010","IQGAP3"
"1011","NAXE"
"1012","GPATCH4"
"1013","HAPLN2"
"1014","NES"
"1015","CRABP2"
"1016","ISG20L2"
"1017","RRNAD1"
"1018","HDGF"
"1019","PRCC"
"1020","SH2D2A"
"1021","NTRK1"
"1022","INSRR"
"1023","PEAR1"
"1024","LRRC71"
"1025","ARHGEF11"
"1026","ETV3"
"1027","FCRL5"
"1028","FCRL4"
"1029","FCRL3"
"1030","FCRL2"
"1031","FCRL1"
"1032","CD5L"
"1033","KIRREL1"
"1034","CD1D"
"1035","CD1A"
"1036","CD1C"
"1037","CD1B"
"1038","CD1E"
"1039","OR10R2"
"1040","SPTA1"
"1041","MNDA"
"1042","PYHIN1"
"1043","IFI16"
"1044","AIM2"
"1045","CADM3"
"1046","ACKR1"
"1047","FCER1A"
"1048","DUSP23"
"1049","FCRL6"
"1050","SLAMF8"
"1051","CFAP45"
"1052","TAGLN2"
"1053","IGSF9"
"1054","KCNJ10"
"1055","PIGM"
"1056","IGSF8"
"1057","ATP1A2"
"1058","ATP1A4"
"1059","PEA15"
"1060","DCAF8"
"1061","PEX19"
"1062","COPA"
"1063","NCSTN"
"1064","NHLH1"
"1065","VANGL2"
"1066","SLAMF6"
"1067","CD84"
"1068","SLAMF1"
"1069","CD48"
"1070","SLAMF7"
"1071","LY9"
"1072","CD244"
"1073","F11R"
"1074","TSTD1"
"1075","USF1"
"1076","ARHGAP30"
"1077","KLHDC9"
"1078","PFDN2"
"1079","NIT1"
"1080","DEDD"
"1081","UFC1"
"1082","USP21"
"1083","PPOX"
"1084","B4GALT3"
"1085","ADAMTS4"
"1086","NDUFS2"
"1087","FCER1G"
"1088","APOA2"
"1089","TOMM40L"
"1090","MPZ"
"1091","CFAP126"
"1092","FCGR2A"
"1093","HSPA6"
"1094","FCGR3A"
"1095","FCGR3B"
"1096","FCGR2B"
"1097","FCRLA"
"1098","FCRLB"
"1099","DUSP12"
"1100","ATF6"
"1101","OLFML2B"
"1102","NOS1AP"
"1103","C1orf226"
"1104","SH2D1B"
"1105","UHMK1"
"1106","UAP1"
"1107","DDR2"
"1108","RGS4"
"1109","RGS5"
"1110","NUF2"
"1111","PBX1"
"1112","MGST3"
"1113","ALDH9A1"
"1114","TMCO1"
"1115","UCK2"
"1116","FAM78B"
"1117","POGK"
"1118","TADA1"
"1119","ILDR2"
"1120","MAEL"
"1121","GPA33"
"1122","POU2F1"
"1123","CD247"
"1124","CREG1"
"1125","RCSD1"
"1126","ADCY10"
"1127","MPC2"
"1128","DCAF6"
"1129","GPR161"
"1130","TIPRL"
"1131","SFT2D2"
"1132","TBX19"
"1133","XCL1"
"1134","DPT"
"1135","ATP1B1"
"1136","NME7"
"1137","BLZF1"
"1138","CCDC181"
"1139","SLC19A2"
"1140","F5"
"1141","SELP"
"1142","C1orf112"
"1143","SELL"
"1144","SELE"
"1145","METTL18"
"1146","SCYL3"
"1147","KIFAP3"
"1148","GORAB"
"1149","PRRX1"
"1150","FMO3"
"1151","FMO2"
"1152","FMO1"
"1153","FMO4"
"1154","PRRC2C"
"1155","MYOCOS"
"1156","VAMP4"
"1157","EEF1AKNMT"
"1158","DNM3"
"1159","PIGC"
"1160","C1orf105"
"1161","SUCO"
