"","x"
"INPP5B",-0.971491228070175
"SF3A3",-17.9619883040936
"FHL3",-0.84766081871345
"UTP11",-1.0953216374269
"RRAGC",-19.9456975772765
"AL139260.1",-0.666666666666667
"MYCBP",-1.69912280701754
"RHBDL2",-1.88255360623782
"AKIRIN1",-1.45175438596491
"NDUFS5",0.520553835569316
"MACF1",-0.757504873294347
"BMP8A",-0.952485380116959
"PABPC4",-0.848403058929375
"HEYL",-1.01380766731644
"PPIE",-1.23336988304094
"BMP8B",-1.33333333333333
"OXCT2",-1.66666666666667
"AL033527.4",-0.974658869395711
"TRIT1",-3.62865497076023
"MYCL",-3.31432748538012
"MFSD2A",-0.850024366471735
"CAP1",2.99796592931604
"PPT1",-0.67874730686365
"RLF",-1.66033138401559
"AL050341.2",-1.20955165692008
"ZMPSTE24",-1.26304543409807
"COL9A2",-1.50751879699248
"SMAP2",-0.869465329991646
"ZFP69B",-1
"AL031985.3",-1.33333333333333
"ZFP69",-1.5
"AL603839.3",-2.15716374269006
"EXO5",-0.990497076023392
"ZNF684",-2.49049707602339
"RIMS3",-0.333333333333333
"NFYC-AS1",-0.314327485380117
"NFYC",-0.869883040935673
"KCNQ4",-0.833333333333333
"CITED4",-0.693713450292398
"CTPS1",-0.90672514619883
"SLFNL1",-1.83333333333333
"SCMH1",-0.925229741019215
"FOXO6",-1.90241228070175
"EDN2",-32.2097953216374
"HIVEP3",0.535818713450292
"GUCA2B",-1.33333333333333
"FOXJ3",-0.96165817770232
"RIMKLA",-15.109649122807
"ZMYND12",-2.98099415204678
"PPCS",-8.86228070175439
"CCDC30",-0.771442495126706
"PPIH",-1.10672514619883
"YBX1",-1.27250190694127
"P3H1",-2.05179615705931
"C1orf50",-0.640058479532164
"SVBP",-2.73099415204678
"ERMAP",-0.697733918128655
"AL512353.1",-1.66666666666667
"ZNF691",-32.0526315789474
"SLC2A1",-0.730352303523035
"SLC2A1-AS1",-1.62865497076023
"FAM183A",-0.980994152046784
"EBNA1BP2",-0.634085213032581
"TMEM125",-1.64766081871345
"C1orf210",-1.66666666666667
"TIE1",-16.0286549707602
"CDC20",-0.684697855750487
