"","x"
"SMPDL3B",-2.98014184397163
"EYA3",-4.94042553191489
"PTAFR",-1.01900709219858
"DNAJC8",-0.946808510638298
"ATP5IF1",-0.714468085106383
"SESN2",-1.32340425531915
"MED18",-1.41796690307329
"PHACTR4",-3.77115839243499
"RCC1",-1.70950354609929
"TRNAU1AP",-0.854751773049645
"TAF12",-1.20035460992908
"RAB42",-1.39602836879433
"GMEB1",-1.98014184397163
"YTHDF2",-0.80354609929078
"EPB41",-0.677730496453901
"TMEM200B",-0.960283687943262
"SRSF4",-1.28421985815603
"MECR",-1.11347517730496
"PTPRU",-1.06843971631206
"LAPTM5",-0.684954794001408
"SDC3",-0.810709219858156
"PUM1",-2.2309219858156
"SNRNP40",-0.908687943262411
"ZCCHC17",-2.80851063829787
"SERINC2",-0.736715766503001
"TINAGL1",-1.64113475177305
"COL16A1",-2.01583924349882
"ADGRB2",-0.313475177304965
"SPOCD1",-0.990070921985816
"KHDRBS1",-0.933049645390071
"TMEM39B",-1.65342789598109
"KPNA6",18.11536643026
"TXLNA",-0.725177304964539
"CCDC28B",-2.30354609929078
"IQCC",-71.0751773049645
"TMEM234",-1.11347517730496
"EIF3I",-0.744789961811238
"FAM167B",-1.66666666666667
"LCK",0.60709219858156
"HDAC1",-0.971631205673759
"MARCKSL1",-13.7836879432624
"TSSK3",-1.33333333333333
"FAM229A",-0.970212765957447
"BSDC1",-11.9013171225937
"ZBTB8A",-32.7042553191489
"SYNC",-0.788085106382979
"KIAA1522",-1.42458628841608
"YARS",-0.631914893617021
"S100PBP",-1.61205673758865
"FNDC5",-1.66666666666667
"TMEM54",0.452887537993921
"RNF19B",-1.8936170212766
"AZIN2",-0.873758865248227
"TRIM62",-6.98014184397163
"ZNF362",-0.48936170212766
"A3GALT2",0
"PHC2",-0.988044579533941
"ZSCAN20",-0.333333333333333
"CSMD2",-1.5
"SMIM12",-0.685815602836879
"GJB4",-0.333333333333333
"GJB3",-0.666666666666667
"GJA4",-0.985106382978723
"DLGAP3",0
"TMEM35B",-1.23489361702128
"ZMYM6",-0.973522458628842
"ZMYM1",-0.990070921985816
"SFPQ",-1.5639085894405
"ZMYM4",-2.3968085106383
"KIAA0319L",0.523758865248227
"NCDN",0.930496453900709
"TFAP2E",-2
"PSMB2",-0.58628841607565
"C1orf216",-1.96028368794326
"CLSPN",-21.1494089834515
"AGO4",-3.30023640661939
"AGO1",-0.956973995271868
"AGO3",-0.973522458628842
"TEKT2",0.940425531914894
"ADPRHL2",-1.30023640661939
"COL8A2",-3.09125295508274
"TRAPPC3",-1.47021276595745
"MAP7D1",-1.03447899618112
"THRAP3",-0.52887537993921
"SH3D21",-1.8968085106383
"EVA1B",-0.976170212765957
"STK40",-1.17219858156028
"LSM10",-0.965248226950355
"OSCP1",-6.66666666666667
"CSF3R",-1.63191489361702
"GRIK3",-1.6468085106383
"ZC3H12A",-1.62198581560284
"MEAF6",-0.865045592705167
"SNIP1",-20.9205673758865
"DNALI1",-4.99007092198582
"GNL2",-0.970212765957447
"C1orf109",-1.6468085106383
"CDCA8",-31.3709219858156
"EPHA10",-2.33333333333333
"YRDC",-0.80354609929078
"C1orf122",-1.25691489361702
"MTF1",-2.53569739952719
"INPP5B",-0.795339412360689
"SF3A3",1.70425531914894
"FHL3",-1.13150962512665
"UTP11",-2.85579196217494
"POU3F1",-0.666666666666667
"RRAGC",-3.33333333333333
"MYCBP",-4.65673758865248
"RHBDL2",-0.666666666666667
"AKIRIN1",-0.752340425531915
"NDUFS5",-0.853900709219858
"MACF1",-1.24564796905222
"BMP8A",-2.23510638297872
"PABPC4",0.419452887537994
"HEYL",-1.00790273556231
"HPCAL4",-1.33333333333333
"PPIE",-0.646808510638298
"BMP8B",-1.32340425531915
"OXCT2",-2.5
"TRIT1",-1
"MYCL",-3.6468085106383
"MFSD2A",-2.99007092198582
"CAP1",-0.661087470449172
"PPT1",-1.35709219858156
"RLF",-1.06843971631206
"TMCO2",0
"ZMPSTE24",-0.850177304964539
"COL9A2",2.50780141843972
"SMAP2",-1.55520094562648
"ZFP69B",-3.33333333333333
"ZFP69",-1.31347517730496
"EXO5",-29.7340425531915
"ZNF684",-0.970212765957447
"RIMS3",-3.1468085106383
"NFYC",-1.25043341213554
"KCNQ4",-2.82340425531915
"CITED4",-0.742553191489362
"CTPS1",-0.619007092198582
"SLFNL1",-0.333333333333333
"SCMH1",-0.818439716312057
"FOXO6",-2
"EDN2",-3
"HIVEP3",-2.28368794326241
"FOXJ3",-0.730141843971631
"RIMKLA",0.85709219858156
"ZMYND12",-2.16666666666667
"PPCS",-0.852127659574468
"CCDC30",-1.65342789598109
"PPIH",-3.11111111111111
"YBX1",-1.63687943262411
"P3H1",-1.46028368794326
"C1orf50",-30.890780141844
"TMEM269",0
"SVBP",-1.56347517730496
"ERMAP",-1.57836879432624
"ZNF691",-5.33333333333333
"SLC2A1",-0.472198581560284
"EBNA1BP2",-0.725025329280648
"CFAP57",-1
"TMEM125",-2
"TIE1",-1.99007092198582
"CDC20",0.384869976359338
"ELOVL1",-1.0305977710233
"MED8",-1.21503546099291
"SZT2",-1.02297872340426
"HYI",-13.2643455834945
"PTPRF",-0.833029381965552
"KDM4A",-4.33333333333333
"ST3GAL3",-0.980141843971631
"ARTN",-33.8808510638298
"IPO13",-3.62695035460993
"DPH2",1.2241134751773
"ATP6V0B",-0.790851063829787
"B4GALT2",-0.786828774062817
"CCDC24",-1.32340425531915
"SLC6A9",-1.98014184397163
"DMAP1",0.816075650118203
"ERI3",-0.622978723404255
"RNF220",-0.333333333333333
"TMEM53",-0.751300236406619
"ARMH1",-34.0375886524823
"KIF2C",-20.8028368794326
"BEST4",3.59503546099291
"PLK3",-22.5971631205674
"TCTEX1D4",-2.33333333333333
"BTBD19",-2.10449172576832
"PTCH2",2.50780141843972
"EIF2B3",-2.86903073286052
"HECTD3",-2.63687943262411
"UROD",-0.845212765957447
"ZSWIM5",-2.33333333333333
"HPDL",0
"MUTYH",-2.31347517730496
"TOE1",-2.6468085106383
"TESK2",-2
"CCDC163",-1.66666666666667
"MMACHC",-0.980141843971631
"AKR1A1",-0.58709219858156
"NASP",-14.4354609929078
"CCDC17",-2.66666666666667
"GPBP1L1",-1.5515704154002
"TMEM69",-1.2
"IPP",-5.62695035460993
"MAST2",-0.980141843971631
"PIK3R3",-0.850780141843972
"TSPAN1",-1.14002026342452
"POMGNT1",-1.13434650455927
"LURAP1",-5.48014184397163
"RAD54L",-2.85579196217494
"LRRC41",-0.929888551165147
"NSUN4",0.35709219858156
"FAAH",-0.985106382978723
"MKNK1",-21.2439716312057
"MOB3C",-2.77115839243499
"ATPAF1",-0.723089046493302
"TEX38",0
"EFCAB14",-0.67854609929078
"CYP4X1",-4.33333333333333
"PDZK1IP1",-0.591755319148936
"STIL",-1.98014184397163
"CMPK1",-0.837509850275808
"FOXD2",2.17446808510638
"TRABD2B",-1.4354609929078
"SLC5A9",-1.57340425531915
"SPATA6",-1
"AGBL4",-1.77777777777778
"BEND5",-0.771158392434988
"ELAVL4",-0.666666666666667
"FAF1",-18.8709219858156
"CDKN2C",0.140425531914893
"RNF11",-0.90287859824781
"TTC39A",-2
"EPS15",-0.830023640661939
"OSBPL9",0.352417794970986
"NRDC",-0.805531914893617
"RAB3B",-0.632624113475177
"TXNDC12",-0.485673758865248
"KTI12",-2
"BTF3L4",-1.38411347517731
"ZFYVE9",-3.31347517730496
"CC2D1B",-1.64184397163121
"ORC1",-1.30354609929078
"PRPF38A",-1.69042553191489
"TUT4",-1.63886524822695
"GPX7",-1.03829787234043
"SHISAL2A",-3.53569739952719
"COA7",-0.990070921985816
"ZYG11B",-25.5475177304965
"ZYG11A",-1.33333333333333
"ECHDC2",-1.38534278959811
"SCP2",-1.03687943262411
"PODN",-1.28699763593381
"CPT2",-11.8150354609929
"CZIB",-1.4309219858156
"LRP8",-1.98014184397163
"GLIS1",-0.828368794326241
"NDC1",-1.65673758865248
"YIPF1",-1.89184397163121
"DIO1",-0.666666666666667
"HSPB11",-0.865721040189125
"LRRC42",-2.82340425531915
"TMEM59",-0.731080517313308
"TCEANC2",-2.15673758865248
"CDCP2",0
"CYB5RL",-4.61702127659574
"SSBP3",-11.7737588652482
"ACOT11",-1
"MROH7",1.8709219858156
"PARS2",-4.16666666666667
"TTC22",-2.33333333333333
"LEXM",-1
"DHCR24",-0.823100303951368
"USP24",-0.834893617021277
"PLPP3",-0.827580772261623
"PRKAA2",-6.66666666666667
"DAB1",0.313475177304965
"OMA1",34.3631205673759
"TACSTD2",-0.849645390070922
"MYSM1",-3
"JUN",-0.50789598108747
"FGGY",-2
"HOOK1",-0.774468085106383
"CYP2J2",-1.57836879432624
"NFIA",-0.938475177304964
"TM2D1",-26.7962174940898
"PATJ",-0.808195429472025
"KANK4",-1.66666666666667
"USP1",-22.0673758865248
"DOCK7",-26.3808510638298
"ANGPTL3",-0.666666666666667
"ATG4C",1.23404255319149
"ALG6",-2.31347517730496
"ITGB3BP",-2.14278959810875
"EFCAB7",-3.33333333333333
"PGM1",-11.6682877406282
"ROR1",1.08723404255319
"CACHD1",-1.48014184397163
"RAVER2",-0.99338061465721
"JAK1",-0.786099290780142
"AK4",-0.730921985815603
"DNAJC6",-1.66666666666667
"LEPROT",-0.83223726627982
"LEPR",-32.3609929078014
"PDE4B",-2.62033096926714
"SGIP1",-0.990070921985816
"TCTEX1D1",-1.6468085106383
"INSL5",0.313475177304965
"WDR78",-0.72936170212766
"MIER1",-0.846217494089834
"SLC35D1",0.829314420803783
"IL23R",-1
"IL12RB2",-4.33333333333333
"SERBP1",-0.611574468085106
"GADD45A",-0.740070921985816
"GNG12",-0.638297872340425
"DIRAS3",-1.33333333333333
"WLS",-2.61702127659574
"RPE65",-0.333333333333333
"DEPDC1",-2.83333333333333
"LRRC7",-1.33333333333333
"LRRC40",-1.31347517730496
"SRSF11",-0.689716312056738
"ANKRD13C",-37.5414893617021
"HHLA3",-0.990070921985816
"CTH",-2.83333333333333
"PTGER3",-0.656737588652482
"ZRANB2",-5.76822695035461
"NEGR1",-4.6468085106383
"LRRIQ3",-2.66666666666667
"FPGT",-1.21560283687943
"TNNI3K",-3.6468085106383
"ERICH3",0
"CRYZ",-1.02446808510638
"TYW3",-1.10449172576832
"SLC44A5",2.50780141843972
"ACADM",-0.860106382978723
"RABGGTB",-0.757919621749409
"MSH4",-0.666666666666667
"ST6GALNAC3",-5.32340425531915
"ST6GALNAC5",-3.5
"PIGK",0.60709219858156
"AK5",-3.33333333333333
"AC118549.1",-1.55851063829787
"USP33",-1.60514184397163
"MIGA1",-0.694427558257345
"NEXN",-1.80354609929078
"FUBP1",-11.4230223677032
"DNAJB4",-19.7962174940898
"GIPC2",-1.33333333333333
"PTGFR",-0.833333333333333
"IFI44L",-0.820961386918834
"IFI44",-1.06347517730496
"ADGRL4",-0.680496453900709
"ADGRL2",-1.31678486997636
"TTLL7",-1
"PRKACB",-1.63687943262411
"SAMD13",-0.666666666666667
"DNASE2B",-1.33333333333333
"RPF1",-1.51744680851064
"GNG5",-3.30354609929078
"SPATA1",-0.666666666666667
"CTBS",-1.66004728132388
"LPAR3",-1.66666666666667
"MCOLN2",-3.82340425531915
"WDR63",-1
"MCOLN3",-0.666666666666667
"SYDE2",-3.48014184397163
"C1orf52",-1.02872340425532
"BCL10",-2.66666666666667
"DDAH1",-1.02695035460993
"CCN1",-0.680283687943262
"ZNHIT6",-0.822695035460993
"COL24A1",-0.666666666666667
"ODF2L",-2.50553191489362
"SH3GLB1",-6.78171788810087
"SELENOF",-2.84917257683215
"HS2ST1",-1.32009456264775
"LMO4",-0.852659574468085
"PKN2",-0.970212765957447
"GTF2B",-19.0250591016548
"KYAT3",-0.823404255319149
"RBMXL1",1.65862884160757
